Paper # ,Title,Paper_Year,Country,State,Lat,Long,Treatment1,Treatment2,Treatment3,HI,Yield,Biomass,Methodology
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,April/29,MGV,1973,0.35,2780,7943,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,May/15,MGI,1973,0.36,2242,6228,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,May/15,MGII,1973,0.4,2964,7410,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,May/15,MGIII,1973,0.33,2753,8336,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,May/15,MGIV,1973,0.25,2032,8128,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,May/15,MGV,1973,0.31,2751,8874,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,May/31,MGI,1973,0.37,2476,6692,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,May/31,MGII,1973,0.36,2773,7703,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,May/31,MGIII,1973,0.27,2294,8496,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,May/31,MGIV,1973,0.25,1671,6684,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,May/31,MGV,1973,0.33,2878,8721,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,June/21,MGI,1973,0.29,1530,5276,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,June/21,MGII,1973,0.35,2065,5900,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,June/21,MGIII,1973,0.35,2479,7083,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,June/21,MGIV,1973,0.34,2345,6900,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,June/21,MGV,1973,0.36,2806,7794,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,July/11,MGI,1973,0.38,1696,4463,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,July/11,MGII,1973,0.4,1893,4733,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,July/11,MGIII,1973,0.35,2136,6103,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,July/11,MGIV,1973,0.3,1656,5520,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,July/11,MGV,1973,0.36,2372,6589,Yield/biological yield (maximum biomass at R6)
2,High-yield factors in the new soybean cultivar ‘Soramizuki’ derived from a US parent cultivar,2025,Japan,Ibaraki,36,140.01,,Soramizuki,2021,0.57,=381.8*10,=L52/K52,Yield/above aground biomass (At R8?)
,,2025,Japan,Ibaraki,36,140.01,,Sachiyutaka A1 gou,2021,0.56,=333.3*10,=L53/K53,Yield/above aground biomass (At R8?)
,,2025,Japan,Ibaraki,36,140.01,,UA4805,2021,0.57,=425.9*10,=L54/K54,Yield/above aground biomass (At R8?)
,,2025,Japan,Ibaraki,36,140.01,,Soramizuki,2023,0.46,=385.4*10,=L55/K55,Yield/above aground biomass (At R8?)
,,2025,Japan,Ibaraki,36,140.01,,Sachiyutaka A1 gou,2023,0.47,=313.5*10,=L56/K56,Yield/above aground biomass (At R8?)
,,2025,Japan,Ibaraki,36,140.01,,UA4805,2023,0.33,=245.7*10,=L57/K57,Yield/above aground biomass (At R8?)
